Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 08/07  05:00:00,138.813714272,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49920952261,0.0,2.335,1.16420952261
 08/07  06:00:00,194.294797403,25.4178222887,11.1626239372,0.0,13.9747600329,18.6919646116,4.69,0.0,4.67,0.02
 08/07  07:00:00,201.04137681,25.4178222887,7.43637414722,0.0,13.9747600329,18.6919646116,5.57843134392,0.888431343923,4.67,0.02
 08/07  08:00:00,280.304074451,25.4178222887,10.6812551565,0.0,34.9369000822,32.3179380704,9.33695189771,0.0,8.1725,1.16445189771
 08/07  09:00:00,317.511705133,25.4178222887,14.9873544282,0.0,62.886420148,41.4019203762,10.5275,0.0,10.5075,0.02
 08/07  10:00:00,316.194670767,25.4178222887,17.3213819531,0.0,62.886420148,41.4019203762,11.6720554718,0.0,10.5075,1.16455547185
 08/07  11:00:00,338.937584645,25.4178222887,23.3738280123,0.0,62.886420148,41.4019203762,11.6722633121,0.0,10.5075,1.16476331205
 08/07  12:00:00,341.172635644,25.4178222887,31.0503891969,0.0,62.886420148,41.4019203762,11.6723344613,0.0,10.5075,1.16483446134
 08/07  13:00:00,349.598405822,25.4178222887,35.6609477057,0.0,62.886420148,41.4019203762,10.5275,0.0,10.5075,0.02
 08/07  14:00:00,344.610888494,25.4178222887,39.2432453679,0.0,62.886420148,41.4019203762,11.6722130027,0.0,10.5075,1.16471300269
 08/07  15:00:00,342.675874018,25.4178222887,43.1295818407,0.0,62.886420148,41.4019203762,11.6721918711,0.0,10.5075,1.16469187106
 08/07  16:00:00,343.455101313,25.4178222887,43.8170715488,0.0,62.886420148,41.4019203762,10.5275,0.0,10.5075,0.02
 08/07  17:00:00,342.997274971,25.4178222887,43.7849743996,0.0,62.886420148,41.4019203762,11.6722203408,0.0,10.5075,1.16472034082
 08/07  18:00:00,333.056907893,25.4178222887,39.7537844812,0.0,41.9242800987,36.8599292233,10.504659448,0.0,9.34,1.16465944797
 08/07  19:00:00,319.548362594,25.4178222887,34.547188538,0.0,41.9242800987,36.8599292233,9.36,0.0,9.34,0.02
 08/07  20:00:00,298.690991607,25.4178222887,27.9985167589,0.0,34.9369000822,32.3179380704,9.33705902419,0.0,8.1725,1.16455902419
 08/07  21:00:00,224.237042753,25.4178222887,31.3810397117,0.0,13.9747600329,18.6919646116,4.69,0.0,4.67,0.02
 08/07  22:00:00,135.956463632,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49934739382,0.0,2.335,1.16434739382
 08/07  23:00:00,163.76141751,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 08/07  24:00:00,145.080366109,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 08/08  01:00:00,134.353935516,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49920235183,0.0,2.335,1.16420235183
 08/08  02:00:00,132.764382107,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 08/08  03:00:00,132.554361409,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 08/08  04:00:00,161.204392417,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 08/08  05:00:00,161.013846837,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49919241203,0.0,2.335,1.16419241203
 08/08  06:00:00,219.312335659,25.4178222887,13.162434826,0.0,13.9747600329,18.6919646116,4.69,0.0,4.67,0.02
 08/08  07:00:00,216.836228046,25.4178222887,8.23102843058,0.0,13.9747600329,18.6919646116,5.47171271154,0.781712711537,4.67,0.02
 08/08  08:00:00,285.075269861,25.4178222887,12.2015873824,0.0,34.9369000822,32.3179380704,9.33691721188,0.0,8.1725,1.16441721188
 08/08  09:00:00,326.399046244,25.4178222887,19.2043839026,0.0,62.886420148,41.4019203762,10.5275,0.0,10.5075,0.02
 08/08  10:00:00,330.385100395,25.4178222887,24.4444171241,0.0,62.886420148,41.4019203762,11.6720615831,0.0,10.5075,1.16456158311
 08/08  11:00:00,351.532587356,25.4178222887,32.9191072295,0.0,62.886420148,41.4019203762,11.6723053052,0.0,10.5075,1.16480530523
 08/08  12:00:00,354.137817368,25.4178222887,39.5043588372,0.0,62.886420148,41.4019203762,10.5275,0.0,10.5075,0.02
 08/08  13:00:00,362.927389108,25.4178222887,44.8644428674,0.0,62.886420148,41.4019203762,11.672375874,0.0,10.5075,1.164875874
 08/08  14:00:00,364.171427518,25.4178222887,51.3998115297,0.0,62.886420148,41.4019203762,11.6722403812,0.0,10.5075,1.16474038118
 08/08  15:00:00,358.702480488,25.4178222887,54.458133347,0.0,62.886420148,41.4019203762,11.6722087365,0.0,10.5075,1.16470873654
 08/08  16:00:00,361.652871831,25.4178222887,57.3157593781,0.0,62.886420148,41.4019203762,10.5275,0.0,10.5075,0.02
 08/08  17:00:00,362.520055616,25.4178222887,58.155445902,0.0,62.886420148,41.4019203762,11.67224217,0.0,10.5075,1.16474217004
 08/08  18:00:00,349.562924929,25.4178222887,51.8736849369,0.0,41.9242800987,36.8599292233,10.5046706365,0.0,9.34,1.16467063651
 08/08  19:00:00,323.406545155,25.4178222887,43.8196977434,0.0,41.9242800987,36.8599292233,9.36,0.0,9.34,0.02
 08/08  20:00:00,302.850662312,25.4178222887,35.9025392824,0.0,34.9369000822,32.3179380704,9.33705070954,0.0,8.1725,1.16455070954
 08/08  21:00:00,228.319131987,25.4178222887,39.6779241792,0.0,13.9747600329,18.6919646116,4.69,0.0,4.67,0.02
 08/08  22:00:00,137.472891538,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49929421393,0.0,2.335,1.16429421393
 08/08  23:00:00,165.140633105,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 08/08  24:00:00,147.078782158,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 08/09  01:00:00,137.168939365,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 08/09  02:00:00,134.640350912,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49919463609,0.0,2.335,1.16419463609
 08/09  03:00:00,134.190942986,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 08/09  04:00:00,141.855283157,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 08/09  05:00:00,142.078254746,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 08/09  06:00:00,211.661814689,25.4178222887,22.1503110457,0.0,13.9747600329,18.6919646116,6.06078353286,0.226542448676,4.67,1.16424108419
 08/09  07:00:00,219.213699002,25.4178222887,13.4229656053,0.0,13.9747600329,18.6919646116,5.38972630395,0.699726303951,4.67,0.02
 08/09  08:00:00,300.454538156,25.4178222887,19.2234193231,0.0,34.9369000822,32.3179380704,9.33688752983,0.0,8.1725,1.16438752983
 08/09  09:00:00,341.559742484,25.4178222887,27.4988185084,0.0,62.886420148,41.4019203762,10.5275,0.0,10.5075,0.02
 08/09  10:00:00,348.490680445,25.4178222887,35.6573391773,0.0,62.886420148,41.4019203762,11.6720726048,0.0,10.5075,1.16457260482
 08/09  11:00:00,369.382874589,25.4178222887,48.0269129186,0.0,62.886420148,41.4019203762,10.5275,0.0,10.5075,0.02
 08/09  12:00:00,375.356174061,25.4178222887,54.6857292004,0.0,62.886420148,41.4019203762,11.6724127193,0.0,10.5075,1.16491271929
